TF	target	importance
ENSG00000229807	ENSG00000114374	22.419547166831116
ENSG00000131002	ENSG00000176728	22.37499071113657
ENSG00000288621	ENSG00000067646	21.938605221043026
ENSG00000286009	ENSG00000114374	21.40757903261443
ENSG00000131002	ENSG00000012817	21.353667997713348
ENSG00000224060	ENSG00000067048	21.35043702777095
ENSG00000176728	ENSG00000067646	21.286833865102516
ENSG00000198692	ENSG00000129824	21.257471527890264
ENSG00000099725	ENSG00000114374	21.243663611456277
ENSG00000288621	ENSG00000183878	20.957239819100195
ENSG00000229807	ENSG00000131002	20.87803037174874
ENSG00000229807	ENSG00000067646	20.73951860177384
ENSG00000286009	ENSG00000131002	20.706240178962283
ENSG00000288621	ENSG00000231535	20.483169568513578
ENSG00000099725	ENSG00000176728	20.30087107205319
ENSG00000231535	ENSG00000114374	20.28031319422255
ENSG00000183878	ENSG00000198692	20.25968561277383
ENSG00000229807	ENSG00000067048	20.253824675976375
ENSG00000229807	ENSG00000286009	20.07937466118484
ENSG00000176728	ENSG00000183878	19.95193976768102
ENSG00000286009	ENSG00000231535	19.903154328178726
ENSG00000129824	ENSG00000198692	19.556495668456616
ENSG00000224060	ENSG00000286009	19.554779023634893
ENSG00000067646	ENSG00000131002	19.493366746380442
ENSG00000067646	ENSG00000286009	19.203909521118977
ENSG00000067048	ENSG00000233070	19.179988307835146
ENSG00000012817	ENSG00000198692	19.167021822089612
ENSG00000183878	ENSG00000067646	18.76363687656529
ENSG00000233070	ENSG00000286009	18.388462588842472
ENSG00000198692	ENSG00000273906	18.374134373852822
ENSG00000286009	ENSG00000183878	18.20340843303464
ENSG00000067048	ENSG00000183878	18.188311364736602
ENSG00000286009	ENSG00000067646	18.180358421104593
ENSG00000183878	ENSG00000233070	18.11484442247975
ENSG00000273906	ENSG00000176728	18.104473019921144
ENSG00000114374	ENSG00000067048	18.08235460475418
ENSG00000131002	ENSG00000231535	18.07144766377155
ENSG00000288621	ENSG00000233070	17.93871030856461
ENSG00000183878	ENSG00000131002	17.923865225243627
ENSG00000273906	ENSG00000165246	17.862435791330103
ENSG00000012817	ENSG00000183878	17.809475871382414
ENSG00000176728	ENSG00000231535	17.762941095540285
ENSG00000224060	ENSG00000288621	17.510101921822702
ENSG00000231535	ENSG00000067048	17.316802462736675
ENSG00000114374	ENSG00000183878	17.31214918810675
ENSG00000022556	ENSG00000183878	16.992882370496815
ENSG00000165246	ENSG00000224060	16.911639471887426
ENSG00000012817	ENSG00000067646	16.87872852883908
ENSG00000099725	ENSG00000288621	16.546847555457077
ENSG00000131002	ENSG00000233070	16.420616259713
ENSG00000204622	ENSG00000176728	16.402968509476526
ENSG00000114374	ENSG00000233070	16.396542787021954
ENSG00000233070	ENSG00000067048	16.28027389538541
ENSG00000224060	ENSG00000165246	16.23952465084411
ENSG00000114374	ENSG00000231535	16.126374496443276
ENSG00000067048	ENSG00000231535	16.125667187651704
ENSG00000204622	ENSG00000273906	16.077217087203913
ENSG00000131002	ENSG00000067646	15.854521651965275
ENSG00000233070	ENSG00000198692	15.582672329068458
ENSG00000099725	ENSG00000012817	15.365467190530373
ENSG00000114374	ENSG00000224060	15.314907729956886
ENSG00000183878	ENSG00000224060	15.112553405328129
ENSG00000286009	ENSG00000224060	15.000775067145263
ENSG00000114374	ENSG00000288621	14.79612364206989
ENSG00000224060	ENSG00000233070	14.759524465991852
ENSG00000229807	ENSG00000231535	14.752922472103043
ENSG00000099725	ENSG00000224060	14.567252939228833
ENSG00000204622	ENSG00000067646	14.453774438636131
ENSG00000099725	ENSG00000183878	14.413787086813516
ENSG00000099725	ENSG00000231535	14.411707195867468
ENSG00000067048	ENSG00000286009	14.354672613183167
ENSG00000165246	ENSG00000273906	14.292959899474253
ENSG00000099725	ENSG00000131002	14.156554540849186
ENSG00000067048	ENSG00000224060	14.095039549568291
ENSG00000224114	ENSG00000239528	13.833842951348021
ENSG00000198692	ENSG00000224060	13.832808340877506
ENSG00000131002	ENSG00000165246	13.776644207528744
ENSG00000183878	ENSG00000231535	13.758201237247697
ENSG00000012817	ENSG00000231535	13.666504009683699
ENSG00000198692	ENSG00000288621	13.465650955426149
ENSG00000130592	ENSG00000114374	13.463732749912655
ENSG00000273906	ENSG00000224060	13.333957565410081
ENSG00000183878	ENSG00000286009	13.331234410261791
ENSG00000165246	ENSG00000183878	13.18248988728379
ENSG00000099725	ENSG00000286009	13.167135116305358
ENSG00000286009	ENSG00000233070	13.022544842843931
ENSG00000165246	ENSG00000067646	12.960638856826394
ENSG00000022556	ENSG00000176728	12.776866709044318
ENSG00000067646	ENSG00000233070	12.701331752537698
ENSG00000232629	ENSG00000215030	12.653472909268672
ENSG00000229807	ENSG00000273906	12.580180276111278
ENSG00000204622	ENSG00000288621	12.575137973383427
ENSG00000231535	ENSG00000067646	12.361360436504542
ENSG00000176728	ENSG00000224060	12.309349094794156
ENSG00000188681	ENSG00000215030	12.259018747883529
ENSG00000019186	ENSG00000129824	12.188257551758616
ENSG00000204622	ENSG00000198692	11.996774057261687
ENSG00000198692	ENSG00000231535	11.854447299938355
ENSG00000288621	ENSG00000176728	11.69354310802927
ENSG00000105894	ENSG00000165246	11.647046554922529
ENSG00000114374	ENSG00000012817	11.401462837460754
ENSG00000213058	ENSG00000239528	11.399265956193352
ENSG00000273906	ENSG00000067646	11.38626625998141
ENSG00000231535	ENSG00000183878	11.360597481134773
ENSG00000165246	ENSG00000231535	11.106667563185937
ENSG00000129824	ENSG00000233070	11.077089496960147
ENSG00000012817	ENSG00000286009	10.998472022432084
ENSG00000288621	ENSG00000273906	10.910156783214296
ENSG00000198848	ENSG00000131002	10.826419347800595
ENSG00000273906	ENSG00000231535	10.583066685794751
ENSG00000022556	ENSG00000131002	10.416316514717945
ENSG00000229807	ENSG00000224060	10.411433247501776
ENSG00000105894	ENSG00000131002	10.362151186279267
ENSG00000233070	ENSG00000231535	10.287732397624948
ENSG00000198692	ENSG00000067048	10.252760387403555
ENSG00000204622	ENSG00000012817	10.252005368100084
ENSG00000137959	ENSG00000272821	10.221300427800552
ENSG00000067646	ENSG00000224060	9.93645338796829
ENSG00000203963	ENSG00000129824	9.74804650438408
ENSG00000067646	ENSG00000231535	9.61858308257116
ENSG00000203875	ENSG00000114374	9.464603248931203
ENSG00000198848	ENSG00000198692	9.254689381221056
ENSG00000022556	ENSG00000114374	9.173062999371
ENSG00000129824	ENSG00000067646	9.119202853867245
ENSG00000288621	ENSG00000165246	9.019024211912802
ENSG00000129824	ENSG00000067048	9.008743589045356
ENSG00000204622	ENSG00000131002	8.965855903377001
ENSG00000275678	ENSG00000203963	8.595843846531677
ENSG00000067646	ENSG00000288621	8.531191117194767
ENSG00000099725	ENSG00000233070	8.480429416980575
ENSG00000237418	ENSG00000201098	8.463462424463907
ENSG00000176728	ENSG00000012817	8.370077600257137
ENSG00000203875	ENSG00000012817	8.22722542724338
ENSG00000111335	ENSG00000272821	8.114074585170227
ENSG00000115415	ENSG00000272821	8.081522901371647
ENSG00000288621	ENSG00000224060	7.838467575875735
ENSG00000022556	ENSG00000288621	7.814241372252016
ENSG00000022556	ENSG00000233070	7.685401003002149
ENSG00000225932	ENSG00000176728	7.657702223710317
ENSG00000012817	ENSG00000224060	7.555874570564404
ENSG00000228695	ENSG00000198692	7.552330381301437
ENSG00000067646	ENSG00000176728	7.520198486905876
ENSG00000022556	ENSG00000231535	7.359366757264829
ENSG00000273047	ENSG00000256843	7.340896734760233
ENSG00000288621	ENSG00000229807	7.290642556794569
ENSG00000205670	ENSG00000273590	7.245447779544073
ENSG00000105894	ENSG00000012817	7.146175354235142
ENSG00000273590	ENSG00000205670	7.002645373550932
ENSG00000198692	ENSG00000229807	6.985074956395153
ENSG00000099725	ENSG00000067048	6.953333701190135
ENSG00000229391	ENSG00000239528	6.9131830073225204
ENSG00000273906	ENSG00000286009	6.820155103260297
ENSG00000203963	ENSG00000165246	6.76970530469607
ENSG00000019186	ENSG00000114374	6.729663367469035
ENSG00000099725	ENSG00000229807	6.702299540941378
ENSG00000197238	ENSG00000273542	6.692672215390245
ENSG00000285628	ENSG00000165246	6.646835253299274
ENSG00000019186	ENSG00000012817	6.640442620562524
ENSG00000099725	ENSG00000067646	6.635667264376611
ENSG00000204622	ENSG00000067048	6.594189872245293
ENSG00000165246	ENSG00000229807	6.55671950320258
ENSG00000019186	ENSG00000131002	6.534476856154494
ENSG00000131002	ENSG00000229807	6.414165249294565
ENSG00000189223	ENSG00000204252	6.368672218577941
ENSG00000228695	ENSG00000012817	6.331342424857808
ENSG00000276528	ENSG00000275559	6.31926787744497
ENSG00000019186	ENSG00000273906	6.2929724640239195
ENSG00000225932	ENSG00000114374	6.250450553536431
ENSG00000136688	ENSG00000205584	6.24476697164883
ENSG00000224060	ENSG00000229807	6.234250881510625
ENSG00000286009	ENSG00000288621	6.214929715886217
ENSG00000198848	ENSG00000114374	6.202455110618789
ENSG00000105894	ENSG00000198692	6.182165727330831
ENSG00000145736	ENSG00000161544	6.155969856735182
ENSG00000248399	ENSG00000202538	6.13566194484895
ENSG00000119917	ENSG00000137198	6.088295802118467
ENSG00000265590	ENSG00000203812	6.045074916925462
ENSG00000067048	ENSG00000067646	6.039130446134466
ENSG00000134326	ENSG00000272821	6.03846001123684
ENSG00000233070	ENSG00000224060	6.025712907899667
ENSG00000106538	ENSG00000170458	5.8988495995434915
ENSG00000204622	ENSG00000183878	5.879787639904946
ENSG00000133433	ENSG00000167916	5.816268197912809
ENSG00000022556	ENSG00000273906	5.807849466676175
ENSG00000129824	ENSG00000231535	5.790434556956362
ENSG00000233070	ENSG00000183878	5.773487515082514
ENSG00000019186	ENSG00000165246	5.7643556997806495
ENSG00000167916	ENSG00000274430	5.715161080827409
ENSG00000105894	ENSG00000067048	5.698620724940405
ENSG00000228695	ENSG00000184227	5.648580955763347
ENSG00000137628	ENSG00000272821	5.585954942340803
ENSG00000130592	ENSG00000129824	5.544055685474078
ENSG00000269900	ENSG00000277027	5.51989606802512
ENSG00000114374	ENSG00000067646	5.445529311072558
ENSG00000105894	ENSG00000176728	5.431203079827416
ENSG00000159763	ENSG00000275993	5.389407443412573
ENSG00000167656	ENSG00000166535	5.369267371476138
ENSG00000275215	ENSG00000278233	5.3594757317607264
ENSG00000228695	ENSG00000131002	5.348874622821953
ENSG00000163331	ENSG00000126549	5.339604483029486
ENSG00000274917	ENSG00000275215	5.337402488473284
ENSG00000224060	ENSG00000067646	5.327524861654524
ENSG00000213058	ENSG00000163606	5.3151192398284
ENSG00000233070	ENSG00000229807	5.312356794269818
ENSG00000229391	ENSG00000215908	5.2946783712465315
ENSG00000198848	ENSG00000129824	5.26230231919546
